Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 1.659356	Val Loss: 1.660324	Val Acc: 43.4375
Train Epoch: 1 [35200/49000 (72%)]	Train Loss: 1.740167	Val Loss: 1.703032	Val Acc: 42.1875
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.832732	Val Loss: 1.549663	Val Acc: 45.0
Train Epoch: 1 [36480/49000 (74%)]	Train Loss: 1.818179	Val Loss: 1.715136	Val Acc: 40.9375
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.934754	Val Loss: 1.603693	Val Acc: 45.625
Train Epoch: 1 [37760/49000 (77%)]	Train Loss: 1.700544	Val Loss: 1.865153	Val Acc: 45.0
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.803027	Val Loss: 1.331981	Val Acc: 56.875
Train Epoch: 1 [39040/49000 (80%)]	Train Loss: 1.767146	Val Loss: 1.636037	Val Acc: 45.9375
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 2.046411	Val Loss: 1.693267	Val Acc: 45.3125
Train Epoch: 1 [40320/49000 (82%)]	Train Loss: 1.828369	Val Loss: 1.575026	Val Acc: 46.25
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.870800	Val Loss: 1.486953	Val Acc: 49.0625
Train Epoch: 1 [41600/49000 (85%)]	Train Loss: 1.474969	Val Loss: 1.649050	Val Acc: 42.1875
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.947582	Val Loss: 1.849597	Val Acc: 41.875
Train Epoch: 1 [42880/49000 (87%)]	Train Loss: 1.657019	Val Loss: 1.507245	Val Acc: 49.375
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.080743	Val Loss: 1.642899	Val Acc: 47.1875
Train Epoch: 1 [44160/49000 (90%)]	Train Loss: 1.687226	Val Loss: 1.755965	Val Acc: 43.125
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.745983	Val Loss: 1.581996	Val Acc: 49.0625
Train Epoch: 1 [45440/49000 (93%)]	Train Loss: 1.831342	Val Loss: 1.719629	Val Acc: 45.0
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.927822	Val Loss: 1.526126	Val Acc: 44.6875
Train Epoch: 1 [46720/49000 (95%)]	Train Loss: 1.628943	Val Loss: 1.498387	Val Acc: 48.125
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.472496	Val Loss: 1.588326	Val Acc: 44.0625
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.637681	Val Loss: 1.707994	Val Acc: 44.0625
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.481640	Val Loss: 1.564131	Val Acc: 46.25
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.954202	Val Loss: 1.560007	Val Acc: 45.9375
Train Epoch: 2 [640/49000 (1%)]	Train Loss: 1.484783	Val Loss: 1.470805	Val Acc: 50.3125
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 2.130964	Val Loss: 1.460730	Val Acc: 49.6875
Train Epoch: 2 [1920/49000 (4%)]	Train Loss: 1.686407	Val Loss: 1.620984	Val Acc: 40.9375
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.814647	Val Loss: 1.401945	Val Acc: 47.5
Train Epoch: 2 [3200/49000 (7%)]	Train Loss: 1.925336	Val Loss: 1.539480	Val Acc: 46.5625
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 2.228043	Val Loss: 1.634106	Val Acc: 42.5
Train Epoch: 2 [4480/49000 (9%)]	Train Loss: 1.671367	Val Loss: 1.385990	Val Acc: 51.25
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.772208	Val Loss: 1.506145	Val Acc: 48.75
Train Epoch: 2 [5760/49000 (12%)]	Train Loss: 1.728740	Val Loss: 1.737947	Val Acc: 45.625
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 1.454594	Val Loss: 1.656523	Val Acc: 47.5
Train Epoch: 2 [7040/49000 (14%)]	Train Loss: 1.589002	Val Loss: 1.556093	Val Acc: 43.75
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 1.809278	Val Loss: 1.451801	Val Acc: 46.875
Train Epoch: 2 [8320/49000 (17%)]	Train Loss: 1.535417	Val Loss: 1.586522	Val Acc: 47.8125
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 1.382480	Val Loss: 1.543540	Val Acc: 45.9375
Train Epoch: 2 [9600/49000 (20%)]	Train Loss: 1.512759	Val Loss: 1.408386	Val Acc: 48.4375
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.511826	Val Loss: 1.535964	Val Acc: 48.75
Train Epoch: 2 [10880/49000 (22%)]	Train Loss: 1.355995	Val Loss: 1.414398	Val Acc: 51.25
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 1.504400	Val Loss: 1.497659	Val Acc: 50.625
Train Epoch: 2 [12160/49000 (25%)]	Train Loss: 1.802123	Val Loss: 1.632571	Val Acc: 47.8125
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.756928	Val Loss: 1.529079	Val Acc: 49.6875
Train Epoch: 2 [13440/49000 (27%)]	Train Loss: 1.372266	Val Loss: 1.473167	Val Acc: 50.0
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.666183	Val Loss: 1.564812	Val Acc: 50.0
Train Epoch: 2 [14720/49000 (30%)]	Train Loss: 2.088552	Val Loss: 1.621704	Val Acc: 48.125
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.429908	Val Loss: 1.435063	Val Acc: 53.4375
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.819131	Val Loss: 1.522147	Val Acc: 50.625
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.665381	Val Loss: 1.745479	Val Acc: 42.8125
Train Epoch: 2 [17280/49000 (35%)]	Train Loss: 1.688126	Val Loss: 1.317653	Val Acc: 55.625
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.592994	Val Loss: 1.398455	Val Acc: 52.1875
Train Epoch: 2 [18560/49000 (38%)]	Train Loss: 1.685691	Val Loss: 1.445770	Val Acc: 50.9375
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.547587	Val Loss: 1.384195	Val Acc: 53.125
Train Epoch: 2 [19840/49000 (40%)]	Train Loss: 1.778381	Val Loss: 1.749746	Val Acc: 45.625
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.308464	Val Loss: 1.832666	Val Acc: 40.9375
